company,date_announced,date_reported,jobs_cut_sg,jobs_cut_global,pct_workforce,industry,source_link,notes,status,event_id
Jobs Portal Indeed Shuts Singapore Tech Office Amid Global Layoffs - The Business Times,2023-03-24,2023-03-24,,,,Other,https://news.google.com/rss/articles/CBMivwFBVV95cUxQN01MMjVDY3JBSVVpMldTVk5vNjQ5S2owN0t6WDYtc3RSNWlFdzdfNlZIMndMOGU3akkwOVVLQ0pRZFFxMUFjdVpFSHcwUnljbUJjbmd3NjNWOVU4amRSVTdlWWNiNXZxUDZnRGVMcXBJNzRXRXJyZm1waVlrQVktTVd0dzlKZFdmRGhNNGJ4bkxUblBVUElMZ0pmR1VUYWVXR004YTA2bFptckQ3SzBDTzRaV3NnM2tFWHJHbE9aSQ?oc=5,Old event (2023) — not recently relevant,rumored,jobs-portal-indeed-shuts-singapore-tech-office-amid-global-layoffs-the-business-times-2023-03
From Tech To Financial Services: Goldman Latest To Join Layoffs For 2025 - The Business Times,2025-02-24,2025-02-24,,,,Other,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQbTNER1JacTBtLVZyRUdSVWZUODdOVmliQ0hyeW1UbmhrTUZ4bEM4Z1JyMGJoLVRLUDBfUmxRckxUeTRNV016d2JTR1cwcW9VWmtQTFpDaTV0THNyTEFwN3liUXJXOExxTkFOWVFFbmdwYk5TZzBfeWpQS3BZbmhSY25kNTlPQVJBQ2EzMF8yRk9ZU1ItVGRRNUxJbDR2V29FSGJEem9uVVMxbG8?oc=5,Duplicate of existing Goldman Sachs entry (2025-02-24),rumored,from-tech-to-financial-services-goldman-latest-to-join-layoffs-for-2025-the-business-times-2025-02
Tech Giant Google,2023-02-17,2023-02-17,,,,Other,https://news.google.com/rss/articles/CBMinwFBVV95cUxNdjNKV1ZqRUNHVEVxR3ZpOGcyY3d2TVhfUVFaSDZlLWZTaVJUMkp6aU4xS1JoblduSVlEQzB3cERlT3pGMm1XOWx6REJzaGFaWXVLdnZsQnl6a1ZFaVZxSjNVSWVOZ1dTY1I4ZlI2RDRqaUktM203RjFaaHVmWHMxaDJuLXU4emZ4V1dpbG81aWV1dHFrN2c5elhrY0RudkU?oc=5,Old event (2023) — not recently relevant,rumored,tech-giant-google-2023-02
Meta Layoffs: Singapore Employees Affected Across Many Departments; Spreadsheets Circulating To Help Job Hunt - Cna,2022-11-11,2022-11-11,,,,Other,https://news.google.com/rss/articles/CBMirAFBVV95cUxQQm1WSHZQRVAtOVJvM3NSc0tfUDdDc0dSQXR0b2Y0bEYtZmVLQjRHajlfcVR5UVBkZTdnV29OVmVJdThUNHJpNVJ1WlRIYjYxblRUSUFwN0NBVXhvSTNQSFJDRWx4aXZoemFWbld0UTdSeHBEbkhfLVhkM3VqVDI3MDhhOFNNU1JsbU5jS3hWZ3VSWVB0R2NPY3BpdlZIOVV1OGFMdm9iRmVZVmpZ?oc=5,Duplicate of existing Meta entry (2022-11-11),rumored,meta-layoffs-singapore-employees-affected-across-many-departments-spreadsheets-circulating-to-help-job-hunt-cna-2022-11
Singapore Unions Offering Support To Any Recently Laid-off Tiktok Employees - The Straits Times,2024-05-24,2024-05-24,,,,Other,https://news.google.com/rss/articles/CBMitgFBVV95cUxNTEZEdy14WnJldnkyaVBiTDBuZHFUSlhtZWRBczRQXzIzTjRXd0pTOHZPVzVBSlZFZ0J5NFJjZl9oNFl1cEJXNnlIaERIWVltcGFuaDhROWpGWmdIRG5XYUdfdm9MRzhhQTRpUFZGbjRtdGoweXY3UGVZSzluOTFIemVoSU5yRGd3YmY4cW5UZXgwUUhWZFl4MnhOYXZCQTlIRHNRNDcwX0xWa3YtaTBWcS1SUThGdw?oc=5,Old event (2024) — not recently relevant,rumored,singapore-unions-offering-support-to-any-recently-laid-off-tiktok-employees-the-straits-times-2024-05
"'zero Empathy', 'total Upheaval': Inside Twitter's Layoffs In Singapore - Cna",2022-11-17,2022-11-17,,,,Other,https://news.google.com/rss/articles/CBMipgFBVV95cUxNX3BPbXVQVXdYd3Vvc3ZVZU9veHBIcmpBRGtOX0s2ZnpPRzJlRS14bDRnX3Uwd19LUFZFME5aWV9FWXg2Ymtoc1QzOWFFN012NExobi0wNno1WFk1LVlEOWdJdE5OU3JSUUs5WHN2WmkwV2tQQ3Zyc0d2R2Mxc0pkc3l6TUNsWW1CcU05dDYwQkFpUGRXNjRGT240SXNYQmt6R1g1OElR?oc=5,Old event (2022) — not recently relevant,rumored,zero-empathy-total-upheaval-inside-twitter-s-layoffs-in-singapore-cna-2022-11
"Google Singapore Hit By Layoffs, Employees Brace For More - The Business Times",2024-01-12,2024-01-12,,,,Other,https://news.google.com/rss/articles/CBMinAFBVV95cUxOQlpYQk5WQ1RySXF0b2xuLU84S1R1eHdCQ3FPTXBGbW1hd0lnWUNLTjJ3SjNiNHd1YjUxVWZPX1Y1bVctcVZRZi1KSnVyQk85Wms0NDRFY3hvN18wZnU4ckJIVnpULU5PNjJkZTY2b1VRamVkNHg0WjM3YmRXa0hJS1dEZ25oUkJYbVlOdF81cjZoRWotY3hrcVpmQk4?oc=5,Old event (2024) — not recently relevant,rumored,google-singapore-hit-by-layoffs-employees-brace-for-more-the-business-times-2024-01
Google Axes Employees In Cloud Division - The Straits Times,2025-02-27,2025-02-27,,,,Other,https://news.google.com/rss/articles/CBMimwFBVV95cUxOX2Q1QUl4bEpST00waFBuTkRKM2xNZmNFenJwTkI5XzZCNXFVa253OV92SURTd0VkRzk1NFZGRXRzY0dxRF8wTDV0Vk1sZHJlYTBWNUNVN1FjNmFwSUU4LW9LOGhua0loVE4xMDBjdE1ia2NLTVcwOVhKNmwtU3IwdVQzc2hwNHYydU5RaGN1YWRFR2FnNUU1ODFXbw?oc=5,Duplicate/old — Google 2025-02-27 cloud division cuts,rumored,google-axes-employees-in-cloud-division-the-straits-times-2025-02
"More Layoffs At Shopee, Three Months After Previous Round Of Job",2022-09-19,2022-09-19,,,,Other,https://news.google.com/rss/articles/CBMikAFBVV95cUxOVDBHUkF6UzVLZENhSDFaV2FoVnlyNURwZG1DZnZuNjRPcGFNeWkyTlh6bHF6OUxTQlVlOThmNkpYVHViV1AyaUVYNzZydE5BM2RFeURuODQwRURKbzNlUWxkYXZYVXlkaGlsUDNGTUpzVUFWSVRLU2ROa2lnbUx2R1BfelJ4VDBpV0RMUU15YXM?oc=5,Old event (2022) — not recently relevant,rumored,more-layoffs-at-shopee-three-months-after-previous-round-of-job-2022-09
Singapore Fintech Moneyhero,2024-07-24,2024-07-24,,,,Other,https://news.google.com/rss/articles/CBMinwFBVV95cUxQMXRmRUNJREZydjBCbGNlQ2lUWVVMeTB1NWc5STNGc3RyS0RTako4cHdRU3lfNUdaWnR1WGdKZ1VXblJiWXM4Q3UzX2ZNaWhGNEdtOGw4c2lfR2lTUERYRzA2OGthNmwwMUVZR1FBSWY1Y3ZDc04xMXQ5SkVhUTRGdm5HdnR6TUxLdWdJSF83MmhTQTNLSEdhbVJUZ1IzdU0?oc=5,Old event (2024) — not recently relevant,rumored,singapore-fintech-moneyhero-2024-07
Temasek-backed Partior Slashes S'porean Team By About 30% After Bagging Us$60mil Funding - Vulcan Post,2024-09-18,2024-09-18,,,,Other,https://news.google.com/rss/articles/CBMiigFBVV95cUxQN3ZpSnVsYmlyZ1B4OVVIRjVqWTBFZVdXdExyMERTZXRucVlZeTdVUnFHTXZ1dnp2VUdDUnY4QmJSNlZweFFYcEVtd2JmbTJJeHltQ1lydnBkMEFpTjlJRGlkZjBUZzZFMTZ6NkNoWGY5dzYyVUxqc21zbDV4TWl3Qi1NTS1obmFBeWc?oc=5,Old event (2024) — not recently relevant,rumored,temasek-backed-partior-slashes-s-porean-team-by-about-30-after-bagging-us-60mil-funding-vulcan-post-2024-09
